,playlist,id,track_name,artist_names,genres
0,hollow sound of morning chimes,0grBASdhUSTmeDA0ejensM,samson and delilah (feat. Mayra Andrade),"['CKay', 'Mayra Andrade']","['afro r&b'], ['morna']"
1,hollow sound of morning chimes,230tKtsKM3eigmK2CtssAO,A Calf Born in Winter,['Khruangbin'],"['indie soul', 'neo-psychedelic']"
2,hollow sound of morning chimes,3NLm801woJocONz1NmPJZR,Curls,['Bibio'],"['ambient folk', 'chillwave', 'downtempo', 'electronica', 'folktronica', 'indietronica']"
3,hollow sound of morning chimes,4ugLp0bGRzn333EjSC6Qdl,Two Fish and an Elephant,['Khruangbin'],"['indie soul', 'neo-psychedelic']"
4,hollow sound of morning chimes,6HJgN2v2HiPNstNnHrVtK8,Ive Brussell (feat. Caetano Veloso),"['Jorge Ben Jor', 'Caetano Veloso']","['bossa nova', 'manguebeat', 'mpb', 'samba', 'samba-rock', 'tropicalia'], ['bossa nova', 'mpb', 'samba de roda', 'tropicalia']"
5,kozmic blues,1ska3YnfMLiOJ6YH7EpZa9,Red House,['Jimi Hendrix'],"['acid rock', 'album rock', 'alternative rock', 'classic rock', 'hard rock', 'proto-metal', 'psychedelic rock', 'rock']"
6,kozmic blues,2HCwigy5HaZddBgDFmu9Je,Cardboard Pile,['Kikagaku Moyo'],"['instrumental stoner rock', 'japanese psychedelic', 'japanese psychedelic rock', 'neo-psychedelic']"
7,kozmic blues,2zzLRQ78kKfPTx8FJQCdC2,When The Sun Goes Down,['Arctic Monkeys'],"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
8,kozmic blues,6ustIXX6sc1cqA3blhyNsy,Zé e Paraná,['Azymuth'],"['brazilian boogie', 'jazz funk', 'psicodelia brasileira']"
9,kozmic blues,6ziC3mMtZcB77liomN0u7i,White Gloves,['Khruangbin'],"['indie soul', 'neo-psychedelic']"
10,kozmic blues,7cnGrzCRaHYAhTn6qKula3,Esmerim,['Beyaz Kelebekler'],"['anadolu rock', 'classic turkish pop', 'turkish psych']"
11,lady stardust,5FAN3M34V4lID5m39SIYDZ,This Must Be the Place (Naive Melody),['Talking Heads'],"['alternative rock', 'art punk', 'dance rock', 'funk rock', 'new wave', 'permanent wave', 'post-punk', 'rock', 'zolo']"
12,lady stardust,5uJVSYvQZb8FVkQmw9uCZl,Lying Around,['Magic Bullets'],[]
13,lady stardust,6IxZEw62MyMFFmhi9v28bN,Fake Empire (Live),['The National'],"['chamber pop', 'indie folk', 'indie rock', 'indietronica', 'modern rock']"
14,lebanese blonde,4bXWYScQrb0tS2NveBaxk1,Since I Left You (Radio),['The Avalanches'],"['australian alternative rock', 'australian dance', 'collage pop', 'electronica', 'indietronica', 'new rave', 'psychedelic hip hop']"
15,lebanese blonde,60bwpZlbE9dclWGDBFLgQW,August Twelve,['Khruangbin'],"['indie soul', 'neo-psychedelic']"
16,lebanese blonde,6YTeWjkxIBqD52skaMDpg5,Un toit et une famille,['Ahmed Malek'],['arab groove']
17,lebanese blonde,6ustIXX6sc1cqA3blhyNsy,Zé e Paraná,['Azymuth'],"['brazilian boogie', 'jazz funk', 'psicodelia brasileira']"
18,lebanese blonde,5uwVRucyDdcNc5i8FRAhfx,Hinamatsuri,['Hideo Date'],"['classic japanese jazz', 'japanese guitar']"
19,lebanese blonde,31KWQUc0jo0qjZeqduEovA,Aaj Shanibar,['Rupa'],[]
20,lebanese blonde,2sQpHRF6hpyCYenzOjinr4,Stories??,['The Chakachas'],['latin funk']
21,lebanese blonde,0lNlELWXPqW9I42yFTSbXB,Shades of Man,['Khruangbin'],"['indie soul', 'neo-psychedelic']"
22,lebanese blonde,230tKtsKM3eigmK2CtssAO,A Calf Born in Winter,['Khruangbin'],"['indie soul', 'neo-psychedelic']"
23,lebanese blonde,2BK8PrSioGxhUaY0m1xXw7,Boticario,"['Maria Toledo', 'Luiz Bonfá']","[], ['bossa nova', 'brazilian jazz', 'jazz guitar', 'samba-jazz', 'violao']"
24,pink moon,1qjrYozGqc7upUgfN776lZ,Sara Smile,['Daryl Hall & John Oates'],"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'yacht rock']"
25,pink moon,2PfgHLym4CG2pkstk99sKa,"#41 - Live at Luther College, Decorah, IA, 02.06.96","['Dave Matthews', 'Tim Reynolds']","['pop rock'], []"
26,pink moon,2jMjIMAbsIVeTrlRITJZ3R,Upward over the Mountain,['Iron & Wine'],"['acoustic pop', 'chamber pop', 'indie folk', 'indie rock', 'stomp and holler']"
27,pink moon,2zpMNARgodJBDKqJSvcBv1,Danny's Song - Live,['Loggins & Messina'],"['classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'soft rock']"
28,pink moon,3JeT6Xcv6MlEHHylk8SKQ1,lovers’ carvings,['Bibio'],"['ambient folk', 'chillwave', 'downtempo', 'electronica', 'folktronica', 'indietronica']"
29,pink moon,3jJhAd1RoImIx5KJRfh6Rf,Slow Show,['The National'],"['chamber pop', 'indie folk', 'indie rock', 'indietronica', 'modern rock']"
30,pink moon,3spLPlfCr1tslgnNaKBMgx,Someday The Waves,['Iron & Wine'],"['acoustic pop', 'chamber pop', 'indie folk', 'indie rock', 'stomp and holler']"
31,pink moon,40NDJ1j7m6YT7V0JPsObec,Dreaming Is Essential,['Because Of Ghosts'],"['atmospheric post-rock', 'australian post-rock', 'instrumental post-rock']"
32,pink moon,4XkxGohiCJ2YZy6Ile2L59,"Get Me Away from Here, I’m Dying",['Belle and Sebastian'],"['alternative rock', 'baroque pop', 'chamber pop', 'indie rock', 'melancholia', 'scottish indie', 'scottish rock', 'singer-songwriter', 'twee pop']"
33,pink moon,4bN43jYf41eIjJZ3UXQpuA,Hold On - Remastered 2010,['John Lennon'],"['classic rock', 'rock']"
34,pink moon,5FAN3M34V4lID5m39SIYDZ,This Must Be the Place (Naive Melody),['Talking Heads'],"['alternative rock', 'art punk', 'dance rock', 'funk rock', 'new wave', 'permanent wave', 'post-punk', 'rock', 'zolo']"
35,pink moon,5dFoWIiJ2814hRwMYDcFiU,She's Gone,['Daryl Hall & John Oates'],"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'yacht rock']"
36,pink moon,5pTfwxnRNxDjt2HyMXUF3H,Midnight on the Bay - 2016 Remaster,['The Stills-Young Band'],[]
