,playlist_name,artist_names,first_genre,enoa_subgenre_matches,top,left,gen_2,gen_4,gen_8,my_genre,sub_genre,best_playlist_match,best_enoa_match
0,avril 14th,['Roberto Musci'],deep free jazz,"['levant-jazz', 'post-punk']",18732,659,instrumental,instrumental,ambient,lo-fi,lo-fi chill,"['deep free jazz', 'focus', 'modern cello', 'instrumental acoustic guitar', 'compositional ambient', 'ambient country', 'neo-classical', 'fourth world', 'contrabass', 'american contemporary classical', '21st century classical', 'british classical piano', 'ambient guitar', 'experimental ambient', 'classical', 'arabic jazz', 'australian ambient', 'ambient', 'french classical piano', 'ambient post-rock', 'lo-fi beats', 'chamber pop', 'lo-fi study', 'american post-rock', 'atmospheric post-rock', 'indie rock', 'instrumental math rock', 'alternative rock', 'art pop', 'turkish alternative', 'swiss indie', 'ambient idm', 'latintronica', 'deep disco house']","['classic soundtrack', 'vintage italian soundtrack', 'library music', 'vintage french psychedelic']"
1,avril 14th,['Suzanne Kraft'],fourth world,"['acoustic-folk', 'ambient', 'post-punk']",16248,386,electronic,electronic,ambient,ambient,ambient,"['fourth world', 'ambient guitar', 'experimental ambient', 'arabic jazz', 'australian ambient', 'ambient country', 'ambient', 'ambient post-rock', 'instrumental acoustic guitar', 'modern cello', 'focus', 'deep free jazz', 'lo-fi beats', 'chamber pop', 'compositional ambient', 'lo-fi study', 'neo-classical', 'american post-rock', 'contrabass', '21st century classical', 'american contemporary classical', 'british classical piano', 'atmospheric post-rock', 'classical', 'french classical piano', 'indie rock', 'instrumental math rock', 'alternative rock', 'art pop', 'turkish alternative', 'swiss indie', 'ambient idm', 'latintronica', 'deep disco house']","['library music', 'vintage italian soundtrack', 'vintage french psychedelic', 'classic soundtrack']"
2,lebanese blonde,['Gábor Szabó'],spiritual jazz,['levant-jazz'],17212,680,instrumental,acoustic,rock,rock,acid-rock,"['spiritual jazz', 'vintage italian soundtrack', 'bossa nova', 'british jazz', 'library music', 'classic persian pop', 'adult standards', 'classic soundtrack', 'chicago soul', 'classic japanese jazz', 'vintage french psychedelic', 'brass band', 'raga rock', 'instrumental funk', 'chamber pop', 'afrobeat', 'musica goiana', 'nova mpb', 'instrumental stoner rock', 'arab groove', 'rare groove', 'afropop', 'brazilian boogie', 'album rock', 'ethereal wave', 'australian alternative rock', 'alternative rock', 'art pop', 'charlotte nc indie', 'brazilian indie', 'deep funk', 'musica popular paraense', 'uk post-punk', 'latin funk', 'indie soul', 'indie surf', 'french indie pop', 'j-rock', 'electro-pop francais', 'downtempo', 'electro jazz', 'greek downtempo']","['israeli jazz', 'arabic jazz', 'arab folk', 'turkish jazz', 'arabesk', 'arab pop']"
4,champagne problems,"[""Mo' Horizons""]",bboy,"['ethnotronica', 'house', 'lo-fi beats', 'nu-disco', 'reggaeton']",3244,1094,,,,,,"['bboy', 'alternative dance', 'chill beats', 'canadian latin', 'balearic', 'latintronica', 'electronica', 'organic electronic', 'nu-cumbia', 'downtempo', 'german techno', 'ethnotronica', 'synth funk', 'electra', 'deep house', 'deep euro house', 'glitch beats', 'minimal tech house', 'organic house', 'deep disco house', 'instrumental hip hop', 'indie soul', 'uppsala indie', 'uk alternative pop', 'ambient idm', 'ecuadorian indie', 'swiss indie', 'cantautora mexicana', 'art pop', 'indie rock', 'chillhop', 'high vibe', 'folklore boliviano', 'ethio-jazz', 'nuevo folklore mexicano', 'british singer-songwriter', 'shamanic', 'fourth world', 'british jazz', 'deep free jazz', 'samba-jazz', 'neo-classical']","['latin hip hop', 'reggaeton', 'colombian pop', 'reggaeton flow', 'flamenco urbano']"
6,champagne problems,['Mariah'],fourth world,"['acoustic-folk', 'ambient', 'post-punk']",16248,386,electronic,electronic,ambient,ambient,ambient,"['fourth world', 'british jazz', 'shamanic', 'british singer-songwriter', 'nuevo folklore mexicano', 'deep free jazz', 'ethio-jazz', 'samba-jazz', 'folklore boliviano', 'high vibe', 'neo-classical', 'chillhop', 'indie rock', 'art pop', 'cantautora mexicana', 'swiss indie', 'ecuadorian indie', 'ambient idm', 'uk alternative pop', 'uppsala indie', 'indie soul', 'instrumental hip hop', 'glitch beats', 'electra', 'synth funk', 'downtempo', 'nu-cumbia', 'electronica', 'latintronica', 'canadian latin', 'chill beats', 'bboy', 'alternative dance', 'balearic', 'organic electronic', 'german techno', 'ethnotronica', 'deep house', 'deep euro house', 'minimal tech house', 'organic house', 'deep disco house']","['library music', 'vintage italian soundtrack', 'vintage french psychedelic', 'classic soundtrack']"
7,champagne problems,"['Caribou', 'Tale Of Us', 'Mano Le Tough']",alternative dance,['nu-disco'],2674,815,electronic,electronic,house,house,edm,"['alternative dance', 'balearic', 'bboy', 'organic electronic', 'german techno', 'ethnotronica', 'chill beats', 'deep house', 'canadian latin', 'latintronica', 'deep euro house', 'electronica', 'minimal tech house', 'organic house', 'deep disco house', 'downtempo', 'nu-cumbia', 'synth funk', 'electra', 'glitch beats', 'instrumental hip hop', 'indie soul', 'uppsala indie', 'uk alternative pop', 'ambient idm', 'ecuadorian indie', 'swiss indie', 'cantautora mexicana', 'art pop', 'indie rock', 'chillhop', 'high vibe', 'folklore boliviano', 'ethio-jazz', 'nuevo folklore mexicano', 'british singer-songwriter', 'shamanic', 'fourth world', 'british jazz', 'deep free jazz', 'samba-jazz', 'neo-classical']","['edm', 'funktronica', 'bmore', 'balearic', 'belgian new wave', 'nu disco', 'italo house', 'synth funk']"
9,pajarito del amor,['Dojo Cuts'],bboy,"['ethnotronica', 'house', 'lo-fi beats', 'nu-disco', 'reggaeton']",3244,1094,,,,,,"['bboy', 'popping', 'electronica', 'shimmer pop', 'deep house', 'deep euro house', 'glitch beats', 'indie soul', 'latinx alternative', 'brazilian rock', 'bachata', 'swiss indie', 'musica popular paraense', 'turkish alternative', 'cantautora mexicana', 'art pop', 'alternative rock', 'album rock', 'forro tradicional', 'brazilian boogie', 'chillhop', 'bristol indie', 'j-acoustic', 'morna', 'acoustic pop', 'british invasion', 'musica goiana', 'southern soul', 'classic rock', 'raga rock', 'indie folk', 'experimental', 'pop folk', 'british singer-songwriter', 'chicago soul', 'turkish jazz', 'fourth world', 'british jazz', 'british folk', 'bossa nova', 'instrumental acoustic guitar', 'samba-jazz', 'compositional ambient', 'neo-classical', 'classical guitar']","['latin hip hop', 'reggaeton', 'colombian pop', 'reggaeton flow', 'flamenco urbano']"
11,pajarito del amor,"['Ariel Pink', 'DāM-FunK']",popping,"['ethnotronica', 'house', 'nu-disco', 'reggaeton']",4267,1146,,,,,,"['popping', 'electronica', 'bboy', 'shimmer pop', 'glitch beats', 'indie soul', 'deep house', 'latinx alternative', 'deep euro house', 'brazilian rock', 'bachata', 'swiss indie', 'musica popular paraense', 'turkish alternative', 'cantautora mexicana', 'art pop', 'alternative rock', 'forro tradicional', 'album rock', 'brazilian boogie', 'chillhop', 'bristol indie', 'j-acoustic', 'morna', 'acoustic pop', 'british invasion', 'musica goiana', 'southern soul', 'classic rock', 'raga rock', 'indie folk', 'experimental', 'pop folk', 'british singer-songwriter', 'chicago soul', 'turkish jazz', 'fourth world', 'british jazz', 'british folk', 'bossa nova', 'instrumental acoustic guitar', 'samba-jazz', 'compositional ambient', 'neo-classical', 'classical guitar']","['colombian pop', 'reggaeton flow', 'latin hip hop', 'reggaeton', 'flamenco urbano']"
13,acid blues,['Hardkandy'],bboy,"['ethnotronica', 'house', 'lo-fi beats', 'nu-disco', 'reggaeton']",3244,1094,,,,,,"['bboy', 'dance pop', 'greek downtempo', 'lo-fi house', 'bleep techno', 'jazz boom bap', 'downtempo', 'deep house', 'glitch beats', 'vapor twitch', 'ambeat', 'instrumental hip hop', 'indie soul', 'ambient idm', 'swiss indie', 'australian reggae fusion', 'charlotte nc indie', 'instrumental math rock', 'indie rock', 'neo-psychedelic', 'chillhop', 'psychedelic soul', 'alternative hip hop', 'instrumental stoner rock', 'lo-fi study', 'afrobeat', 'lo-fi beats', 'lo-fi sleep', 'brass band', 'classic japanese jazz', 'library music', 'fourth world', 'british jazz', 'neo-classical']","['latin hip hop', 'reggaeton', 'colombian pop', 'reggaeton flow', 'flamenco urbano']"
15,acid blues,['Guts'],bboy,"['ethnotronica', 'house', 'lo-fi beats', 'nu-disco', 'reggaeton']",3244,1094,,,,,,"['bboy', 'dance pop', 'greek downtempo', 'lo-fi house', 'bleep techno', 'jazz boom bap', 'downtempo', 'deep house', 'glitch beats', 'vapor twitch', 'ambeat', 'instrumental hip hop', 'indie soul', 'ambient idm', 'swiss indie', 'australian reggae fusion', 'charlotte nc indie', 'instrumental math rock', 'indie rock', 'neo-psychedelic', 'chillhop', 'psychedelic soul', 'alternative hip hop', 'instrumental stoner rock', 'lo-fi study', 'afrobeat', 'lo-fi beats', 'lo-fi sleep', 'brass band', 'classic japanese jazz', 'library music', 'fourth world', 'british jazz', 'neo-classical']","['latin hip hop', 'reggaeton', 'colombian pop', 'reggaeton flow', 'flamenco urbano']"
17,kozmic blues,['Babe Ruth'],bboy,"['ethnotronica', 'house', 'lo-fi beats', 'nu-disco', 'reggaeton']",3244,1094,,,,,,"['bboy', 'greek downtempo', 'electrofox', 'electro jazz', 'downtempo', 'indie soul', 'uk post-punk', 'brooklyn indie', 'alternative rock', 'album rock', 'brazilian boogie', 'dutch indie', 'afropop', 'instrumental stoner rock', 'proto-metal', 'krautrock', 'british invasion', 'art rock', 'acid rock', 'afrobeat', 'anadolu rock', 'persian alternative', 'raga rock', 'bosstown sound', 'turkish psych', 'experimental', 'brass band', 'blues rock', 'classic soul', 'classic persian pop', 'british jazz', 'bossa nova', 'vintage italian soundtrack', 'israeli jazz', 'spiritual jazz', 'classic soundtrack']","['latin hip hop', 'reggaeton', 'colombian pop', 'reggaeton flow', 'flamenco urbano']"
19,kozmic blues,['Poni Hoax'],electrofox,"['house', 'nu-disco']",2265,877,instrumental,acoustic,rock,rock,acid-rock,"['electrofox', 'bboy', 'greek downtempo', 'electro jazz', 'downtempo', 'indie soul', 'uk post-punk', 'brooklyn indie', 'alternative rock', 'album rock', 'brazilian boogie', 'dutch indie', 'afropop', 'instrumental stoner rock', 'proto-metal', 'krautrock', 'british invasion', 'art rock', 'acid rock', 'afrobeat', 'anadolu rock', 'persian alternative', 'raga rock', 'bosstown sound', 'turkish psych', 'experimental', 'brass band', 'blues rock', 'classic soul', 'classic persian pop', 'british jazz', 'bossa nova', 'vintage italian soundtrack', 'israeli jazz', 'spiritual jazz', 'classic soundtrack']","['balearic', 'edm', 'funktronica', 'bmore', 'nu disco', 'belgian new wave', 'italo house', 'synth funk']"
24,cooking with palms trax,"['Miss Kittin', 'The Hacker']",alternative dance,['nu-disco'],2674,815,electronic,electronic,house,house,edm,"['alternative dance', 'edm', 'funktronica', 'bmore', 'dark post-punk', 'microhouse', 'balearic', 'filter house', 'float house', 'belgian new wave', 'nu disco', 'german techno', 'deep soul house', 'german house', 'disco house', 'deep house', 'kwaito', 'deep euro house', 'dark disco', 'minimal tech house', 'organic house', 'deep disco house', 'italo house', 'downtempo', 'ambient techno', 'synth funk', 'deep minimal techno', 'electra', 'neapolitan funk', 'french indie pop', 'indie soul', 'uk alternative pop', 'turkish post-punk', 'afro-funk', 'funk', 'old school highlife', 'victoria bc indie', 'brazilian boogie', 'afro psych', 'rare groove', 'tanzanian pop', 'arab groove', 'classic danish pop', 'afrobeat', 'fourth world']","['edm', 'funktronica', 'bmore', 'balearic', 'belgian new wave', 'nu disco', 'italo house', 'synth funk']"
25,zoukini,"['Ovy On The Drums', 'Beéle']",reggaeton colombiano,"['ethnotronica', 'house', 'reggaeton']",3653,1159,,,,,,"['reggaeton colombiano', 'kizomba', 'latin hip hop', 'reggaeton', 'urban kiz', 'kuduro antigo', 'latintronica', 'zouk', 'afro soul', 'pop', 'zouk riddim', 'deep euro house', 'latin arena pop', 'swedish pop', 'dutch hip hop', 'pop nacional', 'nyc pop', 'afrobeats', 'alt z', 'azontobeats', 'permanent wave', 'bongo flava', 'trap brasileiro', 'french pop', 'viral pop', 'french hip hop', 'chillhop', 'hip hop tuga', 'nova mpb', 'high vibe', 'folk brasileiro', 'world', 'indie anthem-folk', 'indie folk', 'ambient worship', 'acoustic cover']","['latin hip hop', 'reggaeton', 'colombian pop', 'reggaeton flow', 'flamenco urbano']"
26,lady stardust,['Foster The People'],indietronica,"['new-wave', 'pop']",5143,677,instrumental,acoustic,indie,indie,indie-pop,"['indietronica', 'new wave', 'new romantic', 'madchester', 'alternative dance', 'uk post-punk', 'brooklyn indie', 'garage rock', 'art pop', 'alternative rock', 'dream pop', 'grunge', 'art rock', 'chamber pop', 'classic rock', 'alternative americana', 'countrygaze']","['pop', 'swedish pop', 'nyc pop', 'permanent wave', 'french pop', 'viral pop']"
27,lady stardust,['The Whitest Boy Alive'],alternative dance,['nu-disco'],2674,815,electronic,electronic,house,house,edm,"['alternative dance', 'new romantic', 'indietronica', 'new wave', 'madchester', 'uk post-punk', 'brooklyn indie', 'garage rock', 'art pop', 'alternative rock', 'dream pop', 'grunge', 'art rock', 'chamber pop', 'classic rock', 'alternative americana', 'countrygaze']","['edm', 'funktronica', 'bmore', 'balearic', 'belgian new wave', 'nu disco', 'italo house', 'synth funk']"
28,lady stardust,['LCD Soundsystem'],alternative dance,['nu-disco'],2674,815,electronic,electronic,house,house,edm,"['alternative dance', 'new romantic', 'indietronica', 'new wave', 'madchester', 'uk post-punk', 'brooklyn indie', 'garage rock', 'art pop', 'alternative rock', 'dream pop', 'grunge', 'art rock', 'chamber pop', 'classic rock', 'alternative americana', 'countrygaze']","['edm', 'funktronica', 'bmore', 'balearic', 'belgian new wave', 'nu disco', 'italo house', 'synth funk']"
30,hollow sound of morning chimes,['Tomoko Aran'],classic city pop,"['acoustic-indie', 'brazilian-funk', 'cantautora mexicana', 'latin-pop', 'lo-fi chill', 'new-wave', 'pop']",7956,734,instrumental,acoustic,indie,indie,indie-pop,"['classic city pop', 'turkish alternative rock', 'brooklyn indie', 'indie soul', 'musica popular paraense', 'indie garage rock', 'turkish alternative', 'garage rock', 'cantautora mexicana', 'french indie pop', 'art pop', 'chillwave', 'alternative rock', 'j-rock', 'dream pop', 'brazilian soul', 'shimmer pop', 'brazilian boogie', 'downtempo', 'nova mpb', 'popping', 'j-acoustic', 'psicodelia brasileira', 'musica goiana', 'chamber pop', 'ambient pop', 'alternative americana', 'indie folk', 'pop folk', 'ambient folk', 'british folk', 'bossa nova', 'samba-jazz']","['nyc pop', 'permanent wave', 'swedish pop', 'french pop', 'viral pop', 'pop']"
32,nightbirds,['Hercules & Love Affair'],alternative dance,['nu-disco'],2674,815,electronic,electronic,house,house,edm,"['alternative dance', 'tropical alternativo', 'synth funk', 'indie soul', 'brazilian rock', 'disco', 'musica popular paraense', 'art pop', 'funk', 'album rock', 'brazilian boogie', 'psychedelic soul', 'arab groove', 'black americana', 'motown', 'traditional soul', 'northern soul', 'afrobeat', 'southern soul', 'memphis soul', 'jazz funk', 'blues rock', 'classic soul', 'chicago soul', 'soul', 'bossa nova', 'adult standards', 'jazz blues', 'bebop']","['edm', 'funktronica', 'bmore', 'balearic', 'belgian new wave', 'nu disco', 'italo house', 'synth funk']"
